
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Engineering, 0, 12.0, 0, 2646.0, 0, 0, 0, 993.0, 0, 0, 9.0, 0, 3.0, 0, 0, 3663.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 6.0, 4.5, 0, 0, 0, 66.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76.5, 
Fine Arts, 9.0, 48.0, 30.0, 0, 0, 6.0, 101.0, 96.0, 3.0, 0, 12.0, 0, 0, 0, 0, 305.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 12.0, 0, 0, 0, 0, 0, 0, 0, 12.0, 
Kinesiology & Health Studies, 93.0, 153.0, 15.0, 0, 0, 3.0, 3.0, 84.0, 90.0, 36.0, 45.0, 6.0, 3.0, 0, 0, 531.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2439.0, 0, 0, 0, 0, 0, 2439.0, 
Science, 126.0, 279.0, 15.0, 1518.0, 0, 27.0, 18.0, 528.0, 33.0, 780.0, 1017.0, 6.0, 45.0, 0, 0, 4392.0, 
Social Work, 0, 0, 0, 0, 0, 0, 0, 18.0, 0, 0, 0, 189.0, 0, 0, 0, 207.0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0.0, 0.0, 0, 81.0, 0, 0, 0, 0, 6.0, 0, 18.0, 0, 0, 0, 0, 105.0, 
totals:, 2979.0, 2116.5, 480.0, 5049.0, 0, 465.0, 173.0, 3556.0, 237.0, 3291.0, 1527.0, 300.0, 108.0, 0, 0, 20281.5, 
