
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Education, 0, 0, 213.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213.0, 
~Engineering, 0, 21.0, 0, 48.0, 0, 0, 0, 0, 3.0, 0, 6.0, 0, 0, 0, 0, 78.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 9.0, 99.0, 96.0, 0, 0, 3.0, 75.0, 0, 3.0, 0, 3.0, 39.0, 0, 0, 0, 327.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 3.0, 117.0, 15.0, 15.0, 0, 0, 3.0, 0, 72.0, 453.0, 33.0, 24.0, 0, 0, 0, 735.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 285.0, 270.0, 75.0, 66.0, 0, 9.0, 12.0, 0, 48.0, 0, 219.0, 6.0, 0, 0, 0, 990.0, 
Social Work, 6.0, 69.0, 12.0, 0, 0, 3.0, 3.0, 0, 0, 0, 0, 183.0, 0, 0, 0, 276.0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 717.0, 1770.0, 1098.0, 168.0, 0, 72.0, 186.0, 30.0, 165.0, 456.0, 393.0, 711.0, 15.0, 0, 0, 5781.0, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 7872.0, 666.0, 6.0, 408.0, 0, 324.0, 21.0, 708.0, 132.0, 0, 162.0, 0, 66.0, 0, 0, 10365.0, 
Arts, 2916.0, 11556.0, 1668.0, 492.0, 0, 180.0, 498.0, 640.0, 507.0, 360.0, 3045.0, 1077.0, 51.0, 0, 0, 22990.0, 
Education, 0, 21.0, 6201.0, 0, 0, 234.0, 87.0, 822.0, 162.0, 0, 9.0, 6.0, 0, 0, 0, 7542.0, 
~Engineering, 6.0, 9.0, 0, 8022.0, 0, 6.0, 0, 1260.0, 0, 0, 27.0, 0, 39.0, 9.0, 0, 9378.0, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 45.0, 69.0, 0, 0, 0, 42.0, 33.0, 0, 6.0, 0, 9.0, 24.0, 3.0, 0, 0, 231.0, 
Fine Arts, 58.0, 556.5, 359.0, 1.0, 0, 36.0, 2183.0, 165.0, 4.0, 1.0, 131.5, 9.0, 9.0, 0, 0, 3513.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.0, 
Kinesiology & Health Studies, 228.0, 405.0, 522.0, 3.0, 0, 9.0, 21.0, 117.0, 4617.0, 18.0, 294.0, 54.0, 0, 0, 0, 6288.0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5391.0, 0, 0, 0, 0, 0, 5391.0, 
Science, 1065.0, 1278.0, 432.0, 5199.0, 0, 27.0, 33.0, 1006.0, 390.0, 726.0, 8196.0, 6.0, 45.0, 0, 0, 18403.0, 
Social Work, 12.0, 57.0, 0, 0, 0, 3.0, 0, 102.0, 0, 0, 12.0, 1299.0, 0, 0, 0, 1485.0, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0.0, 
No College Designated, 0.0, 0.0, 0, 27.0, 0, 0, 0.0, 0, 0, 0, 0.0, 0.0, 0, 0, 0, 27.0, 
totals:, 12202.0, 14617.5, 9188.0, 14152.0, 0, 861.0, 2876.0, 4820.0, 5818.0, 6496.0, 11885.5, 2475.0, 213.0, 9.0, 0, 85613.0, 
