
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~University Extension, 43.5, 120, 6, 3, 0, 72, 48, 0, 3, 3, 18, 15, 0, 0, 0, 331.5, 
Fine Arts, 48, 508.5, 370, 6, 0, 18, 2081.5, 171, 3, 3, 127, 36, 9, 0, 0, 3381.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 
Kinesiology & Health Studies, 276, 450, 591, 9, 0, 18, 21, 141, 4716, 126, 324, 39, 3, 0, 0, 6714, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9588, 0, 0, 0, 0, 0, 9588, 
Science, 1272, 1605, 597, 3885, 0, 39, 84, 917, 405, 1893, 8559, 30, 15, 0, 6, 19307, 
Social Work, 0, 78, 3, 0, 0, 0, 0, 105, 3, 0, 3, 1236, 0, 0, 0, 1428, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 60, 
totals:, 12757.5, 15195.5, 9610, 11929, 0, 642, 2750.5, 5049, 5787, 12288, 11950, 2568, 105, 9, 9, 90649.5, 
