
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~University Extension, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Fine Arts, 12, 147, 105, 0, 0, 6, 135, 0, 6, 0, 6, 27, 0, 0, 0, 444, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Kinesiology & Health Studies, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Science, 231, 276, 42, 30, 0, 0, 15, 0, 45, 0, 219, 6, 0, 0, 0, 864, 
Social Work, 6, 36, 0, 0, 0, 0, 3, 0, 0, 0, 0, 12, 0, 0, 0, 57, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 855, 1911, 1098, 51, 0, 27, 237, 12, 225, 891, 366, 504, 3, 0, 0, 6180, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 8616, 633, 33, 210, 0, 270, 69, 977, 159, 9, 108, 3, 12, 0, 0, 11099, 
Arts, 3120, 13206, 1542, 222, 0, 168, 630, 687, 537, 585, 2700, 1479, 36, 0, 3, 24915, 
Education, 0, 36, 6510, 0, 0, 150, 78, 936, 117, 0, 0, 9, 3, 0, 0, 7839, 
~Engineering, 0, 18, 0, 6122, 0, 6, 0, 1137, 0, 0, 33, 0, 0, 9, 0, 7325, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 117, 91.5, 0, 0, 0, 120, 81, 0, 0, 0, 3, 18, 0, 0, 0, 430.5, 
Fine Arts, 27, 584.5, 392, 0, 0, 12, 2520, 144, 6, 0, 119, 12, 6, 0, 0, 3822.5, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12, 
Kinesiology & Health Studies, 288, 522, 660, 12, 0, 18, 15, 159, 4431, 15, 330, 36, 9, 0, 0, 6495, 
Nursing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5538, 0, 0, 0, 0, 0, 5538, 
Science, 1236, 1356, 552, 3423, 0, 57, 75, 723, 384, 1920, 8424, 12, 12, 0, 9, 18183, 
Social Work, 9, 123, 0, 0, 0, 6, 0, 135, 9, 0, 0, 1386, 0, 0, 0, 1668, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 13413, 16570.0, 9689, 9989, 0, 807, 3468, 4910, 5643, 8067, 11717, 2955, 78, 9, 12, 87327.0, 
