
Campion: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
Social Work, 15, 30, 3, 0, 0, 0, 3, 0, 0, 0, 0, 15, 0, 0, 0, 66, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 822, 1872, 765, 66, 0, 27, 183, 18, 138, 6, 297, 378, 0, 0, 0, 4572, 

U of R: 
, ~Administration, Arts, Education, ~Engineering, ~University Entrance Program, ~University Extension, Fine Arts, Graduate Studies & Research, Kinesiology & Health Studies, Nursing, Science, Social Work, Special, Interim, No College Designated,  total, 
~Administration, 7689, 516, 33, 366, 0, 201, 30, 775, 84, 0, 126, 6, 15, 0, 0, 9841, 
Arts, 3120, 12033, 1356, 954, 0, 180, 546, 674, 507, 270, 2472, 1071, 21, 0, 0, 23204, 
Education, 3, 36, 8884, 3, 0, 126, 138, 819, 36, 0, 3, 0, 15, 0, 0, 10063, 
~Engineering, 6, 3, 0, 5376, 0, 0, 0, 1185, 0, 0, 33, 0, 0, 0, 0, 6603, 
~University Entrance Program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
~University Extension, 75, 64.5, 0, 0, 0, 79.5, 36, 0, 0, 0, 6, 15, 0, 0, 3, 279.0, 
Fine Arts, 39, 468, 471.5, 9, 0, 9, 2656.5, 141, 12, 3, 100, 15, 0, 0, 0, 3924.0, 
Graduate Studies & Research, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 
Kinesiology & Health Studies, 273, 498, 816, 24, 0, 15, 9, 144, 4200, 39, 255, 51, 0, 0, 0, 6324, 
Nursing, 3, 3, 0, 0, 0, 0, 0, 0, 0, 5436, 3, 0, 0, 0, 0, 5445, 
Science, 1200, 1143, 642, 3084, 0, 60, 66, 717, 237, 2304, 7527, 15, 15, 0, 6, 17016, 
Social Work, 3, 153, 0, 0, 0, 3, 3, 90, 18, 0, 3, 1038, 0, 0, 0, 1311, 
Special, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Interim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
No College Designated, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
totals:, 12411, 14917.5, 12202.5, 9816, 0, 673.5, 3484.5, 4551, 5094, 8052, 10528, 2211, 66, 0, 9, 84016.0, 
